label,text,clean_strict,clean_light
spam,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,hmv quiz cash balance currently 500 maximize cash send hmv1 86688 150p msg,Ur HMV Quiz cash balance is currently  500   to maximize ur cash in now send HMV1 to 86688 only 150p msg
ham,"So check your errors and if you had difficulties, do correction.",check errors difficulties correction,So check your errors and if you had difficulties  do correction
ham,Howz pain?hope u r fine..,howz pain hope fine,Howz pain?hope u r fine
ham,"Sorry, I'll call later",sorry call later,Sorry  I ll call later
ham,Good morning princess! How are you?,good morning princess,Good morning princess! How are you?
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin said happy day boss felt special askd lunch lunch invited apartment went,As I entered my cabin my PA said     Happy B day Boss !!    I felt special  She askd me 4 lunch  After lunch she invited me to her apartment  We went there
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.,wake already thanx tau sar piah quite nice,U wake up already? Thanx 4 e tau sar piah it s quite nice
ham,K do I need a login or anything,need login anything,K do I need a login or anything
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,dont forget place many free requests 1stchoice wish information call 08707808226,Dont forget you can place as many FREE Requests with 1stchoice co uk as you wish  For more Information call 08707808226
ham,LOL ... No just was busy,lol busy,LOL     No just was busy
ham,What * u wearing?,wearing,What   u wearing?
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,message text missing sender name missing number missing sent date missing missing lot thats everything missing sent via fullonsms com,Message some text missing  Sender Name Missing   Number Missing  Sent Date missing  Missing U a lot thats y everything is missing sent via fullonsms com
ham,Oh:)as usual vijay film or its different?,usual vijay film different,Oh  as usual vijay film or its different?
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,know know send chat 86688 let find 150p msg rcvd suite342 2lands row w1j6hl ldn years,I don t know u and u don t know me  Send CHAT to 86688 now and let s find each other! Only 150p Msg rcvd  HG Suite342 2Lands Row W1J6HL LDN  18 years or over
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?,good day mine really busy much tomorrow night,Have you had a good day? Mine was really busy are you up to much tomorrow night?
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.,way send shade stuff wonderful,And is there a way you can send shade s stuff to her  And she has been wonderful too
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,really tot paper ended long ago wat copied jus got use happy lar still haf study,Really    I tot ur paper ended long ago    But wat u copied jus now got use? U happy lar    I still haf 2 study
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",thank winner notified sms good luck future marketing reply stop 84122 customer services 08450542832,Thank you  winner notified by sms  Good Luck! No future marketing reply STOP to 84122 customer services 08450542832
ham,Babe ? I lost you ... :-(,babe lost,Babe ? I lost you
ham,Ok... Help me ask if she's working tmr a not?,help ask working tmr,Ok    Help me ask if she s working tmr a not?
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,driving raining get caught mrt station lor,I m not driving    Raining! Then i ll get caught at e mrt station lor
ham,Not a drop in the tank,drop tank,Not a drop in the tank
ham,(That said can you text him one more time?),said text one time,That said can you text him one more time?
ham,"Sorry, I'll call later",sorry call later,Sorry  I ll call later
ham,Ok i go change also...,change also,Ok i go change also
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m),1000 girls many local virgins ready 4fil every sexual need 4fil text cute 69911 50p,1000 s of girls many local 2 u who r virgins 2 this   r ready 2 4fil ur every sexual need  Can u 4fil theirs? text CUTE to 69911  1 50p  m
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,find sitter kaitlyn sick slept day yesterday,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",sorry man accidentally left phone silent last night check til got,Sorry man  accidentally left my phone on silent last night and didn t check it til I got up
ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,hey something came last min think wun signing tmr hee,Hey   Something came up last min   Think i wun be signing up tmr   Hee
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,adult would learn experience real danger dont like peeps using drugs dont need comment,He s an adult and would learn from the experience  There s no real danger  I just dont like peeps using drugs they dont need  But no comment
ham,Hey! There's veggie pizza... :/,hey veggie pizza,Hey! There s veggie pizza
ham,Yun buying... But school got offer 2000 plus only...,yun buying school got offer 2000 plus,Yun buying    But school got offer 2000 plus only
ham,You sure your neighbors didnt pick it up,sure neighbors didnt pick,You sure your neighbors didnt pick it up
ham,K. I will sent it again,sent,K  I will sent it again
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win cup final tkts 21st may 2005 text 87121 receive entry question std txt rate apply 08452810075over18,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005  Text FA to 87121 to receive entry question std txt rate T C s apply 08452810075over18 s
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theory argument wins situation loses person dont argue friends kick amp say always correct,New Theory  Argument wins d SITUATION  but loses the PERSON  So dont argue with ur friends just         kick them  amp  say  I m always correct !
ham,Well. Im computerless. Time to make some oreo truffles,well computerless time make oreo truffles,Well  Im computerless  Time to make some oreo truffles
ham,"Haha yeah I see that now, be there in a sec",haha yeah see sec,Haha yeah I see that now  be there in a sec
ham,I am not having her number sir,number sir,I am not having her number sir
ham,Lol now I'm after that hot air balloon!,lol hot air balloon,Lol now I m after that hot air balloon!
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,bus come soon come otherwise tomorrow,Ok     now i am in bus    If i come soon i will come otherwise tomorrow
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,msgs time pass silently say thinking right also making think least moment swt drms shesil,Msgs r not time pass They silently say that I am thinking of U right now and also making U think of me at least 4 a moment  Gd nt swt drms  Shesil
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl",yeah probably swing roommate finishes girl,Yeah  we can probably swing by once my roommate finishes up with his girl
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",got takes take part wrc rally lucozade energy text rally 61200 25p see packs lucozade wrc itcould,Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200  25p   see packs or lucozade co uk wrc   itcould be u!
ham,Happy new years melody!,happy new years melody,Happy new years melody!
ham,Ü dun need to pick ur gf?,dun need pick,dun need to pick ur gf?
ham,Yay! You better not have told that to 5 other girls either.,yay better told girls either,Yay! You better not have told that to 5 other girls either
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,horrible eat macs eat forgot abt already rite take long reply thk toot prepared wat shall eat,Horrible u eat macs eat until u forgot abt me already rite    U take so long 2 reply  I thk it s more toot than b4 so b prepared  Now wat shall i eat?
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",say fantastic chance anything need bigger life lift losing live think would first person die,Did he say how fantastic I am by any chance  or anything need a bigger life lift as losing the will 2 live  do you think I would be the first person 2 die from N V Q?
ham,Just nw i came to hme da..,came hme,Just nw i came to hme da
ham,"I'm outside islands, head towards hard rock and you'll run into me",outside islands head towards hard rock run,I m outside islands  head towards hard rock and you ll run into me
ham,To day class is there are no class.,day class class,To day class is there are no class
ham,I'm in chennai velachery:),chennai velachery,I m in chennai velachery
ham,You flippin your shit yet?,flippin shit yet,You flippin your shit yet?
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore",give sec breaking cstore,K give me a sec  breaking a  lt   gt  at cstore
ham,Am i that much bad to avoid like this?,much bad avoid like,Am i that much bad to avoid like this?
ham,"Yo, you around? Just got my car back",around got car back,Yo  you around? Just got my car back
ham,Annoying isn't it.,annoying,Annoying isn t it
ham,"Goodmorning, Today i am late for  &lt;#&gt; min.",goodmorning today late min,Goodmorning  Today i am late for  lt   gt  min
ham,There's no point hangin on to mr not right if he's not makin u happy,point hangin right makin happy,There s no point hangin on to mr not right if he s not makin u happy
ham,All will come alive.better correct any good looking figure there itself..,come alive better correct good looking figure,All will come alive better correct any good looking figure there itself
ham,In that case I guess I'll see you at campus lodge,case guess see campus lodge,In that case I guess I ll see you at campus lodge
ham,We're done...,done,We re done
ham,Come to my home for one last time i wont do anything. Trust me.,come home one last time wont anything trust,Come to my home for one last time i wont do anything  Trust me
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,night worrying appt shame missed girls night quizzes popcorn hair,I was up all night too worrying about this appt  It s a shame we missed a girls night out with quizzes popcorn and you doing my hair
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,sex mobile free sexy pic jordan text babe 88600 every get sexy celeb pocketbabe pics 087016248,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600  Then every wk get a sexy celeb! PocketBabe co uk 4 more pics  16  3 wk 087016248
ham,Ok... C ya...,,Ok    C ya
spam,You have 1 new voicemail. Please call 08719181503,new voicemail please call 08719181503,You have 1 new voicemail  Please call 08719181503
ham,What he said is not the matter. My mind saying some other matter is there.,said matter mind saying matter,What he said is not the matter  My mind saying some other matter is there
ham,He also knows about lunch menu only da. . I know,also knows lunch menu know,He also knows about lunch menu only da    I know
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",moan thin goes wrong fault arguments fault fed himso bother hav 2go thanx,Al he does is moan at me if n e thin goes wrong its my fault al de arguments r my fault fed up of him of himso y bother? Hav 2go  thanx xx
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,neft transaction reference number decimal credited beneficiary account time,NEFT Transaction with reference number  lt   gt  for Rs   lt DECIMAL gt  has been credited to the beneficiary account on  lt   gt  at  lt TIME gt     lt   gt
ham,Otherwise had part time job na-tuition..,otherwise part time job tuition,Otherwise had part time job na tuition
ham,I know she called me,know called,I know she called me
ham,"Me also da, i feel yesterday night  wait til 2day night dear.",also feel yesterday night wait til 2day night dear,Me also da  i feel yesterday night wait til 2day night dear
ham,Thanks for understanding. I've been trying to tell sura that.,thanks understanding trying tell sura,Thanks for understanding  I ve been trying to tell sura that
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,win year supply cds store choice worth 500 enter 100 weekly draw txt music 87066 www ldew com subs16 1win150ppmx3,WIN a year supply of CDs 4 a store of ur choice worth  500   enter our  100 Weekly draw txt MUSIC to 87066 Ts Cs www Ldew com subs16 1win150ppmx3
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,whole car appreciated last two dad map reading semi argument apart things going,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok  P
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",sim subscriber selected receive bonus get delivered door txt word 88600 claim 150p msg exp 30apr,As a SIM subscriber  you are selected to receive a Bonus! Get it delivered to your door  Txt the word OK to No  88600 to claim  150p msg  EXP  30Apr
ham,I need you to be in my strong arms...,need strong arms,I need you to be in my strong arms
ham,Also maaaan are you missing out,also maaaan missing,Also maaaan are you missing out
ham,His bday real is in april .,bday real april,His bday real is in april
ham,Guessin you ain't gonna be here before 9?,guessin gonna,Guessin you ain t gonna be here before 9?
ham,Ok then i will come to ur home after half an hour,come home half hour,Ok then i will come to ur home after half an hour
ham,"Yo, the game almost over? Want to go to walmart soon",game almost want walmart soon,Yo  the game almost over? Want to go to walmart soon
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",yeah probably sure ilol let know personally wuldnt bother goin mite well,Yeah  probably but not sure  Ilol let u know  but personally I wuldnt bother  then again if ur goin to then I mite as well!!
ham,I'll text now! All creepy like so he won't think that we forgot,text creepy like think forgot,I ll text now! All creepy like so he won t think that we forgot
ham,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?",would good phone tomo lunchtime shall organise something,that would be good   I ll phone you tomo lunchtime  shall I  to organise something?
spam,You have 1 new voicemail. Please call 08719181513.,new voicemail please call 08719181513,You have 1 new voicemail  Please call 08719181513
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow",damn make tonight want wait til tomorrow,Damn  can you make it tonight or do you want to just wait til tomorrow
ham,K..k..i'm also fine:)when will you complete the course?,also fine complete course,K  k  i m also fine  when will you complete the course?
ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",true passable get high score apply phd get 5years salary makes life easier,True  It is passable  And if you get a high score and apply for phd  you get 5years of salary  So it makes life easier
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,nokia tone mob every week txt nok 87021 1st tone free get txtin tell friends 150p tone reply 4info,No  1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021  1st Tone FREE ! so get txtin now and tell ur friends  150p tone  16 reply HL 4info
ham,Prakesh is there know.,prakesh know,Prakesh is there know
ham,Teach me apps da. When you come to college.,teach apps come college,Teach me apps da  When you come to college
ham,Rofl betta invest in some  anti aging products,rofl betta invest anti aging products,Rofl betta invest in some anti aging products
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner specially selected receive 1000 cash holiday flights inc speak live operator claim 0871277810810,You are a winner U have been specially selected 2 receive  1000 cash or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810810
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay.",sir receive account another 1hr time sorry delay,sir  you will receive the account no another 1hr time  Sorry for the delay
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,reply name address receive post weeks completely free accommodation various global locations www phb1 com 08700435505150p,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www phb1 com ph 08700435505150p
ham,So ü'll be submitting da project tmr rite?,submitting project tmr rite,So   ll be submitting da project tmr rite?
spam,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,free entry 250 weekly comp send word enter 84128 www textcomp com cust care 08712405020,FREE entry into our  250 weekly comp just send the word ENTER to 84128 NOW  18 T C www textcomp com cust care 08712405020
ham,Jus ans me lar. U'll noe later.,jus ans lar noe later,Jus ans me lar  U ll noe later
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,want send something sell fast easy money,I want to send something that can sell fast   lt   gt  k is not easy money
ham,have got * few things to do. may be in * pub later.,got things may pub later,have got   few things to do  may be in   pub later
ham,1's finish meeting call me.,finish meeting call,1 s finish meeting call me
ham,Lol ok. I'll snatch her purse too.,lol snatch purse,Lol ok  I ll snatch her purse too
ham,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx,hello drivby 0quit edrunk sorry iff pthis makes senrd dnot dancce drum basq ihave fun 2nhite ros xxxxxxx,Hello   drivby  0quit edrunk sorry iff pthis makes no senrd dnot no how   dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,Your opinion about me? 1  Over 2  Jada 3  Kusruthi 4  Lovable 5  Silent 6  Spl character 7  Not matured 8  Stylish 9  Simple Pls reply
ham,How much are we getting?,much getting,How much are we getting?
ham,Is ur paper in e morn or aft tmr?,paper morn aft tmr,Is ur paper in e morn or aft tmr?
ham,"Dear relieved of westonzoyland, all going to plan this end too!",dear relieved westonzoyland going plan end,Dear relieved of westonzoyland  all going to plan this end too!
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,hope great new semester wish best made greatness,Hope you are having a great new semester  Do wish you the very best  You are made for greatness
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,yes speak txt hmm get email,Oh yes I can speak txt 2 u no! Hmm  Did u get email?
ham,"I want to show you the world, princess :) how about europe?",want show world princess europe,I want to show you the world  princess    how about europe?
ham,Nobody can decide where to eat and dad wants Chinese,nobody decide eat dad wants chinese,Nobody can decide where to eat and dad wants Chinese
ham,No shoot me. I'm in the docs waiting room. :/,shoot docs waiting room,No shoot me  I m in the docs waiting room
ham,Now? I'm going out 4 dinner soon..,going dinner soon,Now? I m going out 4 dinner soon
ham,Hello which the site to download songs its urgent pls,hello site download songs urgent pls,Hello which the site to download songs its urgent pls
ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",know mean king havin credit goin2bed night night sweet only1more sleep,I do know what u mean  is the king of not havin credit! I m goin2bed now  Night night sweet! Only1more sleep!
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?,horrible gal sch stuff come got,Horrible gal  Me in sch doing some stuff  How come u got mc?
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",hun comin 2nite tell every1 sorry hope ava goodtime oli rang melnite ifink mite sorted explain everythin mon l8rs,HI HUN! IM NOT COMIN 2NITE TELL EVERY1 IM SORRY 4 ME  HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED BUT IL EXPLAIN EVERYTHIN ON MON L8RS x
ham,"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sms,I call you later  don t have network  If urgnt  sms me
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,Ummmmmaah Many many happy returns of d day my dear sweet heart   HAPPY BIRTHDAY dear
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you,please call 08712402779 immediately urgent message waiting,Please CALL 08712402779 immediately as there is an urgent message waiting for you
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,yeah like goes like friends imma flip shit like half hour,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,mum say wan shun bian watch glass exhibition,Mum say we wan to go then go    Then she can shun bian watch da glass exhibition
ham,What your plan for pongal?,plan pongal,What your plan for pongal?
ham,Just wait till end of march when el nino gets himself. Oh.,wait till end march nino gets,Just wait till end of march when el nino gets himself  Oh
ham,"Not yet chikku..going to room nw, i'm in bus..",yet chikku going room bus,Not yet chikku  going to room nw  i m in bus
ham,Am also doing in cbe only. But have to pay.,also cbe pay,Am also doing in cbe only  But have to pay
ham,Honey boo I'm missing u.,honey boo missing,Honey boo I m missing u
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",sent customer service cum accounts executive mail details contact,We have sent JD for Customer Service cum Accounts Executive to ur mail id  For details contact us
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",parents gettin cash good news picked downstem,Yo  I m at my parents  gettin cash  Good news  we picked up a downstem
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",thank much skyped wit sura didnt get pleasure company hope good given ultimatum countin aburo enjoy,Thank you so much  When we skyped wit kz and sura  we didnt get the pleasure of your company  Hope you are good  We ve given you ultimatum oh! We are countin down to aburo  Enjoy!
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",hungry gay guys feeling hungry call 08718730555 10p min stop texts call 08712460324 10p min,Hungry gay guys feeling hungry and up 4 it  now  Call 08718730555 just 10p min  To stop texts call 08712460324  10p min
ham,Ok. No wahala. Just remember that a friend in need ...,wahala remember friend need,Ok  No wahala  Just remember that a friend in need
ham,I will see in half an hour,see half hour,I will see in half an hour
ham,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",inperialmusic listening2the weirdest track ever leafcutter john sounds like insects molested someone plumbing remixed evil men acid,Im in inperialmusic listening2the weirdest track ever by leafcutter john  sounds like insects being molested someone plumbing remixed by evil men on acid!
ham,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.",hey sorry didntgive bellearlier hunny bedbut mite thepub l8tr uwana loads luv jenxxx,Hey sorry I didntgive ya a a bellearlier hunny just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,seriously tell exact words right,SERIOUSLY  TELL HER THOSE EXACT WORDS RIGHT NOW
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,get phone wanna chat set meet call 09096102316 cum 2moro luv jane calls minmoremobsemspobox45po139wa,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls 1 minmoremobsEMSPOBox45PO139WA
ham,"Tee hee. Off to lecture, cheery bye bye.",tee hee lecture cheery bye bye,Tee hee  Off to lecture  cheery bye bye
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",sorry chikku cell got problem thts able reply msg,Sorry chikku  my cell got some problem thts y i was nt able to reply u or msg u
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,still havent collected dough pls let know place sent get control number,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
ham,Ok...,,Ok
spam,network operator. The service is free. For T & C's visit 80488.biz,network operator service free visit 80488 biz,network operator  The service is free  For T   C s visit 80488 biz
ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,let know contact settled room lets know,Let me know how to contact you  I ve you settled in a room  Lets know you are ok
ham,Wot u up 2 u weirdo?,wot weirdo,Wot u up 2 u weirdo?
ham,Can do lor...,lor,Can do lor
ham,Dont put your phone on silent mode ok,dont put phone silent mode,Dont put your phone on silent mode ok
ham,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,meet depends wan lor,Can i meet   at 5   As 4 where depends on where   wan 2 in lor
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,waiting show start lor leh still busy report,Waiting 4 my tv show 2 start lor    U leh still busy doing ur report?
ham,Oh ho. Is this the first time u use these type of words,first time use type words,Oh ho  Is this the first time u use these type of words
ham,Am I the only one who doesn't stalk profiles?,one stalk profiles,Am I the only one who doesn t stalk profiles?
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",ever green quote ever told jerry cartoon person irritates always one loves vry much fails express gud nyt,Ever green quote ever told by Jerry in cartoon  A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It   !  !!         gud nyt
ham,Yes i thought so. Thanks.,yes thought thanks,Yes i thought so  Thanks
ham,But if she.s drinkin i'm ok.,drinkin,But if she s drinkin i m ok
ham,"Just wondering, the others just took off",wondering others took,Just wondering  the others just took off
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng,Night has ended for another day  morning has come in a special way  May you smile like the sunny rays and leaves your worries at the blue blue bay  Gud mrng
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",dog must always wait till end day word run time cell already,What do you do  my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?
ham,Happy new year to u too!,happy new year,Happy new year to u too!
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",hey great deal farm tour 9am 5pm pax deposit may,Hey   Great deal   Farm tour 9am to 5pm $95 pax  $50 deposit by 16 May
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... ,eat jap done oso aft lect wat got lect rite,Eat jap done oso aft ur lect wat      got lect at 12 rite
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",hey babe saw came online second disappeared happened,Hey babe! I saw you came online for a second and then you disappeared  what happened ?
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes,Da my birthdate in certificate is in april but real date is today  But dont publish it  I shall give you a special treat if you keep the secret  Any way thanks for the wishes
ham,Happy birthday... May all ur dreams come true...,happy birthday may dreams come true,Happy birthday    May all ur dreams come true
ham,Aiyah u did ok already lar. E nydc at wheellock?,aiyah already lar nydc wheellock,Aiyah u did ok already lar  E nydc at wheellock?
ham,TELL HER I SAID EAT SHIT.,tell said eat shit,TELL HER I SAID EAT SHIT
ham,Sure! I am driving but will reach my destination soon.,sure driving reach destination soon,Sure! I am driving but will reach my destination soon
ham,"K so am I, how much for an 8th? Fifty?",much 8th fifty,K so am I  how much for an 8th? Fifty?
ham,Your daily text from me – a favour this time,daily text favour time,Your daily text from me   a favour this time
ham,Great to hear you are settling well. So what's happenin wit ola?,great hear settling well happenin wit ola,Great to hear you are settling well  So what s happenin wit ola?
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one,Those cocksuckers  If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,I tot u reach liao. He said t-shirt.,tot reach liao said shirt,I tot u reach liao  He said t shirt
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",fran decided way completely broke knackered got bout 2mrw love janx dads fone credit,FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P S THIS IS MY DADS FONE   NO CREDIT
ham,I cant pick the phone right now. Pls send a message,cant pick phone right pls send message,I cant pick the phone right now  Pls send a message
ham,Your right! I'll make the appointment right now.,right make appointment right,Your right! I ll make the appointment right now
ham,Designation is software developer and may be she get chennai:),designation software developer may get chennai,Designation is software developer and may be she get chennai
